AARDVARKS,AARDVARK(South African) a nocturnal
UPVALUING,UPVALUEto increase the value of [v]
UPWAFTING,UPWAFTto waft upward [v]
UPWELLING,a welling up; the rising to the surface of nutriment-bearing water from the depths of the ocean [n -S]
UPWHIRLED,UPWHIRLto whirl up [v]
UPWINDING,UPWINDto wind up [v]
UPWROUGHT,wrought up [adj]
URACHUSES,URACHUS(Greek) a cord or band of fibrous tissue extending from the bladder to the umbilicus [n]
URALITISE,to turn into uralitealso URALITIZE [v URALITISED
URALITIZE,to turn into uralitealso URALITISE [v URALITIZED
URANINITE,uranium dioxidethe major ore of uranium
URANISCUS,(Greek) the roof of the mouth [n URANISCI]
URANOLOGY,the study of the heavens [n URANOLOGIES]
URBANISED,URBANISEto cause to take on urban characteristics
URBANISES,URBANISEto cause to take on urban characteristics
URBANISMS,URBANISMthe lifestyle of city dwellers [n]
URBANISTS,URBANISTa specialist in city planning [n]
URBANITES,URBANITEone who lives in a city [n]
URBANIZED,URBANIZEto cause to take on urban characteristics
URBANIZES,URBANIZEto cause to take on urban characteristics
URCEOLATE,shaped like a pitcher [adj]
UREDINIAL,of or like uredinesrust-fungi [adj]
UREDINIUM,a uredosorusa sorus or pustule in which urediniospores are formed
UREDINOUS,containing uredinesrust spores [adj]
UREDOSORI,UREDOSORUSa pustule producing and containing uredospores [n]
UREOTELIC,eliminating unneeded nitrogen in the form of urea [adj]
URETHANED,URETHANEto coat with urethane [v]
URETHANES,URETHANEto coat with urethane [v]
URGENCIES,URGENCYa strong urgency or drive [n]
URINARIES,URINARY(obsolete) a reservoir for the collection of urine for e.g. manure [n]
URINATING,URINATEto discharge urine [v]
URINATION,the act of voiding urine [n -S]
URINATIVE,provoking the flow of urine [adj]
URINATORS,URINATORone who dives under water in search of something
URINEMIAS,URINEMIAan abnormal condition of the blood
URINOLOGY,the study of urine or the urinary tractalso OUROLOGY
URNFIELDS,URNFIELDa late Bronze Age cemetery containing funerary urns [n]
UROBILINS,UROBILINa brown pigment in faeces and sometimes urine [n]
UROCHORDS,UROCHORDa rodlike structure in certain lower vertebrates [n]
UROCHROME,an amorphous yellow pigment found in urine [n -S]
URODELANS,URODELANa member of the Urodela
URODELOUS,of or like urodelesnewts and salamanders [adj]
UROGENOUS,producing or produced in urine [adj]
UROGRAPHY,radiological examination of the urinary tract [n UROGRAPHIES]
UROKINASE,a drug that dissolves intravascular blood clots [n -S]
UROLAGNIA,sexual arousal caused byor associated with
UROLITHIC,of or like a urolitha calculus in the urinary tract [adj]
UROLOGIES,UROLOGYthe study of urine or the urinary tract
UROLOGIST,one versed in urologythe study of urine [n -S]
UROPODOUS,of or pertaining to a uropodany one of the abdominal appendages of a crustacean [adj]
UROPYGIAL,of or pertaining to the uropygiumor prominence at the base of the tail feathers
UROPYGIUM,the rump of a bird which supports the tail feathers [n UROPYGIUMS or UROPYGIA]
UROSCOPIC,relating to uroscopythe diagnostic examination of urine [adj]
UROSTEGES,UROSTEGE(Greek) a snake's ventral tail-plate [n]
UROSTYLES,UROSTYLEa part of the vertebral column of frogs and toads [n]
URTICANTS,URTICANTa substance that causes stinging or itching [n]
URTICARIA,nettle rashhives [n -S]
URTICATED,URTICATEto cause to itch or sting [v]
URTICATES,URTICATEto cause to itch or sting [v]
URUSHIOLS,URUSHIOL(Japanese) a poisonous and irritant oily liquid present in poison ivy and the lacquer tree [n]
USABILITY,the state of being usablealso USEABILITY [n USABILITIES]
USELESSLY,USELESSserving no purpose [adv]
USERNAMES,USERNAMEan identifying sequence of characters used for logging onto a computer system [n]
USHERETTE,a female usheralso USHERESS [n -S]
USHERINGS,USHERINGthe act of ushering [n]
USHERSHIP,the office of an usher [n -S]
USQUABAES,USQUABAE(Gaelic) whiskey
USQUEBAES,USQUEBAE(Gaelic) whiskey
USTULATED,USTULATEto give a charred appearance to [v]
USTULATES,USTULATEto give a charred appearance to [v]
USUALNESS,the state of being usual [n -ES]
USUCAPION,the acquisition of a property through long usagealso USUCAPTION [n -S]
USUCAPTED,USUCAPTto acquire by long possession [v]
USUFRUCTS,USUFRUCTto exercise this right [v]
USURESSES,USURESSa female money lender [n]
USURPEDLY,USURPEDUSURP
USURPINGS,USURPINGthe act of usurping [n]
UTEROTOMY,surgical removal of the womb [n UTEROTOMIES]
UTILIDORS,UTILIDOR(Canadian) an insulated system of pipes for use in arctic regions [n]
UTILISERS,UTILISERone who utilises
UTILISING,UTILISEto make use of
UTILITIES,UTILITYthe quality of being useful [n]
UTILIZERS,UTILIZERone who utilizes
UTILIZING,UTILIZEto make use of
UTOPIASTS,UTOPIASTone who believes in utopia
UTOPISTIC,of or like a utopista believer in Utopia [adj]
UTRICULAR,like or having a utriclealso UTRICULATE [adj]
UTRICULUS,(Latin) a saclike cavity in the inner earalso UTRICLE [n UTRICULI]
UTTERABLE,capable of being uttered [adj]
UTTERANCE,the act of uttering [n -S]
UTTERINGS,UTTERINGthe circulation of counterfeit notes [n]
UTTERLESS,incapable of being uttered [adj]
UTTERMOST,the greatest degree or amountalso UTMOST [n -S]
UTTERNESS,the state of being utter [n -ES]
UVAROVITE,(Russian) a green lime-chrome garnet [n -S]
UVEITISES,UVEITISinflammation of the uvea [n]
UXORIALLY,UXORIALof or relating to a wife [adv]
UXORICIDE,the murder of a wife by her husband [n -S]
VACANCIES,VACANCYthe state of being vacant
VACATABLE,that can be vacated [adj]
VACATIONS,VACATIONto take a holiday [v]
VACCINATE,to inoculate with a vaccine [v VACCINATEDVACCINATING
VACCINEES,VACCINEEone that is vaccinated [n]
VACCINIAL,of or like vacciniacowpox [adj]
VACCINIAS,VACCINIA(Latin) cowpox
VACCINIUM,(Latin) a genus of ericaceous shrubs including the various kinds of blueberries and the true cranberries [n -S]
VACHERINS,VACHERIN(French) a kind of cake
VACILLANT,vacillating; wavering [adj]
VACILLATE,to fluctuate in opinion or resolution [v VACILLATEDVACILLATING
VACUATING,VACUATE(obsolete) to make void
VACUATION,the act of emptying [n -S]
VACUITIES,VACUITYan empty space [n]
VACUOLATE,having vacuolesalso VACUOLATED [adj]
VACUOUSLY,VACUOUSempty [adv]
VACUUMING,VACUUMto operate a cleaner that uses suction [v]
VAGABONDS,VAGABONDto live like a vagrant [v]
VAGARIOUS,erratic in behaviour or direction [adj VAGARIOUSLY]
VAGINALLY,VAGINALpertaining to the vagina [adv]
VAGINATED,invested withor as if with
VAGINITIS,inflammation of the vagina [n VAGINITIDES or VAGINITISES]
VAGINOSES,VAGINOSISa bacterial vaginal infection [n]
VAGINOSIS,a bacterial vaginal infection [n VAGINOSES]
VAGINULAE,VAGINULA(Latin) a little sheath
VAGINULES,VAGINULEa little sheath
VAGITUSES,VAGITUS(Latin) a cry or wail [n]
VAGOTONIA,pathological overactivity of the vagus nerve [n -S]
VAGOTONIC,relating to vagotoniapathological overactivity of the vagus nerve [adj]
VAGRANTLY,VAGRANTwandering
VAGUENESS,the state of being vague [n -ES]
VAINESSES,VAINESSE(Spenser) vanity
VAINGLORY,excessive prideesp. in one's achievements or abilities [n VAINGLORIES] / to boast vainly [v VAINGLORIED
VAJAZZLED,VAJAZZLEto adorn the female pubis with glittery spangles [v]
VAJAZZLES,VAJAZZLEto adorn the female pubis with glittery spangles [v]
VALANCING,VALANCEto drape with a valance [v]
VALENCIAS,VALENCIAa kind of woven fabric for waistcoats [n]
VALENCIES,VALENCYa chemical bond
VALENTINE,a sweetheart [n -S]
VALERATES,VALERATEa salt of valeric acid [n]
VALERIANS,VALERIANa perennial herb [n]
VALETINGS,VALETINGthe act of being a valet [n]
VALIANCES,VALIANCEcourage
VALIANTLY,VALIANTbrave [adv]
VALIDATED,VALIDATEto give legal force to [v]
VALIDATES,VALIDATEto give legal force to [v]
VALIDATOR,one who validates [n -S]
VALIDNESS,the state of being valid [n -ES]
VALKYRIES,VALKYRIE(Old Norse) a maiden in Norse mythology
VALLARIES,VALLARY(Latin) a Roman circular gold crown which was awarded to the first soldier who broke into the enemy's camp
VALLATION,the act of building fortifications [n -S]
VALLECULA,(Latin) a groove or furrow [n VALLECULAE or VALLECULAS]
VALLHUNDS,VALLHUND(Swedish) a Swedish breed of dog [n]
VALLONIAS,VALLONIA(Italian) a tanning material
VALORISED,VALORISEto establish and maintain the price of by government action
VALORISES,VALORISEto establish and maintain the price of by government action
VALORIZED,VALORIZEto establish and maintain the price of by government action
VALORIZES,VALORIZEto establish and maintain the price of by government action
VALPROATE,a salt of valproic acid [n -S]
VALUABLES,VALUABLEa possession of value [n]
VALUATING,VALUATEto appraise
VALUATION,the act of valuing [n -S]
VALUATORS,VALUATORan appraiser
VALUELESS,without value [adj]
VALVASSOR,a knightnoble etc. with vassals under him who is himself the vassal of a greater noble
VALVELESS,without valves [adj]
VALVELETS,VALVELETa small valve [n]
VALVELIKE,like a valve [adj]
VAMBRACED,(historical) wearing a vambracea piece of armour designed to protect the arm from the elbow to the wrist [adj]
VAMBRACES,VAMBRACE(historical) a piece of armour designed to protect the arm from the elbow to the wrist
VAMOOSING,VAMOOSEto leave quickly
VAMPIRING,VAMPIREto prey upon [v]
VAMPIRISE,to play the vampirealso VAMPIRIZE [v VAMPIRISED
VAMPIRISH,like a vampire [adj]
VAMPIRISM,the practice of a vampire [n -S]
VAMPIRIZE,to play the vampirealso VAMPIRISE [v VAMPIRIZED
VAMPISHLY,VAMPISHlike a vamp
VAMPLATES,VAMPLATEa hand guard [n]
VANADATES,VANADATEa salt of vanadic acid
VANADIATE,a salt of vanadic acidalso VANADATE [n -S]
VANADIUMS,VANADIUMa silvery metallic element [n]
VANASPATI,(Sanskrit) a hydrogenated vegetable fat used as a butter substitute [n -S]
VANDALISE,to deal with or treat in a vandalistic manneralso VANDALIZE [v VANDALISED
VANDALISH,like a vandal [adj]
VANDALISM,wanton damage [n -S]
VANDALIZE,to deal with or treat in a vandalistic manneralso VANDALISE [v VANDALIZED
VANDYKING,VANDYKEto notch or zigzag [v]
VANESSIDS,VANESSIDa butterfly of the red admiral genus Vanessa
VANGUARDS,VANGUARDthe forefront of a movement
VANILLINS,VANILLINa white crystalline aldehyde having a burning taste and characteristic odor of vanilla
VANISHERS,VANISHERone who vanishes [n]
VANISHING,disappearing [adj VANISHINGLY] / the act of vanishing [n -S]
VANITASES,VANITAS(Latin) a 17th century Dutch still life painting featuring a memento mori etc. [n]
VANTAGING,VANTAGE(Spenser) to benefit [v]
VANTBRACE,(historical) a piece of armour designed to protect the arm from the elbow to the wristalso VAMBRACE
VANTBRASS,(Milton) armour for the forearmalso VAMBRACE
VAPIDNESS,the state of being vapid [n -ES]
VAPORABLE,that can be vaporizedalso VAPORIZABLE
VAPORETTI,VAPORETTO(Italian) a motorboat serving as a canal bus in Venice [n]
VAPORETTO,(Italian) a motorboat serving as a canal bus in Venice [n VAPORETTOS or VAPORETTI]
VAPORIEST,VAPORYfull of vapors; vaporous
VAPORIFIC,vaporizing [adj]
VAPORINGS,VAPORINGboastful talk [n]
VAPORISED,VAPORISEto turn into vapor
VAPORISER,something that vaporisesalso VAPORIZER [n -S]
VAPORISES,VAPORISEto turn into vapor
VAPORIZED,VAPORIZEto turn into vapor
VAPORIZER,something that vaporisesalso VAPORISER [n -S]
VAPORIZES,VAPORIZEto turn into vapor
VAPORLESS,without vaporalso VAPOURLESS [adj]
VAPORLIKE,like vapor [adj]
VAPORWARE,a computer-related product that has been widely advertised but has not and may never become availablealso VAPOURWARE [n -S]
VAPOURERS,VAPOURERone that vapours
VAPOURIER,VAPOURYfull of vapour; affected with the vapours
VAPOURING,vaporous [adj VAPOURINGLY] / the act of vapouring [n -S]
VAPOURISH,resembling or suggestive of vapoursalso VAPORISH [adj]
VAPOUROUS,like vapouralso VAPOROUS [adj]
VAPULATED,VAPULATEto flog; to be flogged [v]
VAPULATES,VAPULATEto flog; to be flogged [v]
VARACTORS,VARACTORa two-electrode semiconductor device [n]
VARGUENOS,VARGUENO(Spanish) a cabinet or desk of a kind made at Vargas near Toledo [n]
VARIABLES,VARIABLEsomething that varies [n]
VARIANCES,VARIANCEa deviation or alteration [n]
VARIATING,VARIATEto change
VARIATION,a varyingchange [n -S]
VARIATIVE,relating to variationalso VARIATIONAL [adj]
VARICELLA,(Latin) chickenpox [n -S]
VARICOSED,having varicose veinsalso VARICOSE [adj]
VARICOSES,VARICOSISany condition characterized by distention of the veins [n]
VARICOSIS,any condition characterized by distention of the veins [n VARICOSES]
VARIEGATE,to pattern with multicolour patches [v VARIEGATEDVARIEGATING
VARIETALS,VARIETALa wine from a single variety of grape [n]
VARIETIES,VARIETYdiversity [n]
VARIFOCAL,of spectacleshaving differing focal lengths [n -S]
VARIOLATE,to inoculate with smallpox [v VARIOLATEDVARIOLATING
VARIOLITE,a kind of diorite or diabase containing imbedded whitish spheruleswhich give the rock a spotted appearance [n -S]
VARIOLOID,a disease resembling variolasmallpox [n -S]
VARIOLOUS,of or pertaining to the smallpox [adj]
VARIORUMS,VARIORUM(Latin) an edition of a text that includes the notes of earlier scholars or editors [n]
VARIOUSLY,VARIOUSof diverse kinds [adv]
VARISCITE,an apple-green minerala hydrous phosphate of alumina [n -S]
VARISIZED,in various sizes [adj]
VARISTORS,VARISTORa semiconductor with resistance varying in accordance with voltage [n]
VARITYPED,VARITYPEto produce copy on a special typewriter [v]
VARITYPES,VARITYPEto produce copy on a special typewriter [v]
VARLETESS,a female varlet [n -ES]
VARLETTOS,VARLETTO(Shakespeare) sham Italian for a varlet [n]
VARNISHED,VARNISHto give a glossy appearance to [v]
VARNISHER,one who varnishes [n -S]
VARNISHES,VARNISHto give a glossy appearance to [v]
VAROOMING,VAROOMto run an engine at high speed
VARSITIES,VARSITY(colloquial) university [n]
VARTABEDS,VARTABEDa member of an Armenian order of clergy [n]
VARVELLED,having varvelsalso VERVELLED [adj]
VARYINGLY,VARYING [adv]
VASCULUMS,VASCULUM(Latin) a box used to hold plant specimens [n]
VASECTOMY,the excision of part or all of the vas deferensesp. in order to produce sterility [n VASECTOMIES]
VASELINED,VASELINEto cover or smear with a translucent gelatinous substance obtained from petroleum [v]
VASELINES,VASELINEto cover or smear with a translucent gelatinous substance obtained from petroleum [v]
VASOMOTOR,causing constriction or expansion of blood vessels [adj]
VASOSPASM,a sharp and often persistent spasm of a blood vessel resulting in reduced caliber and flow [n -S]
VASOTOCIN,a polypeptide pituitary hormone [n -S]
VASOVAGAL,of or relating to both vascular or vagal factors [adj]
VASSALAGE,the state of being a vassalor feudatory [n -S]
VASSALESS,a female vassal [n -ES]
VASSALISE,to reduce to the status of a vassalalso VASSALIZE [v VASSALISED
VASSALIZE,to reduce to the status of a vassalalso VASSALISE [v VASSALIZED
VASSALLED,VASSALto subject [v]
VASTIDITY,immensity [n VASTIDITIES]
VASTITIES,VASTITYvastness
VASTITUDE,vastnessalso VASTITY
VATICIDES,VATICIDEthe killing of a prophet [n]
VATICINAL,of or pertaining to prophecy [adj]
VAULTAGES,VAULTAGEa cavern
VAULTIEST,VAULTY(Shakespeare) like a vault [adj]
VAULTINGS,VAULTINGthe act of vaulting [n]
VAULTLIKE,like a vault [adj]
VAUNTAGES,VAUNTAGE(Spenser) vantage [n]
VAUNTIEST,VAUNTYboastful
VAUNTINGS,VAUNTINGthe act of vaunting [n]
VAVASOURS,VAVASOURa knight
VAVASSORS,VAVASSORa knight
VAWNTIEST,VAWNTIEboastful
VECTORIAL,of or like a vector [adj VECTORIALLY]
VECTORING,directing an aircraft in flight to the required destination [n -S]
VECTORISE,to make into a vectoralso VECTORIZE [v VECTORISED
VECTORIZE,to make into a vectoralso VECTORISE [v VECTORIZED
VEDUTISTA,(Italian) a painter of vedutepanoramic views of towns [n VEDUTISTI or or VEDUTISTE or VEDUTISTAS]
VEDUTISTE,VEDUTISTA(Italian) a painter of vedute
VEDUTISTI,VEDUTISTA(Italian) a painter of vedute
VEERINGLY,VEERINGchanging direction [adv]
VEGANISMS,VEGANISMthe practice of eating only plant products [n]
VEGELATES,VEGELATEa kind of chocolate made from vegetable fat and cocoa fat [n]
VEGEMITES,VEGEMITE(colloquial) a child [n]
VEGETABLE,a plant or part of one used for foodother than those considered to be fruits [n -S] / of the nature of a vegetable [adj VEGETABLY]
VEGETABLY,having the nature of a vegetable [adv VEGETABLIERVEGETABLIEST]
VEGETALLY,VEGETALof or pertaining to vegetables
VEGETATED,VEGETATEto live an inactive or dull life [v]
VEGETATES,VEGETATEto live an inactive or dull life [v]
VEGETISTS,VEGETISTone that eats only plant products
VEGETIVES,VEGETIVE(Shakespeare) a plant [n]
VEHEMENCE,urgencyforcefulness
VEHEMENCY,urgencyforcefulness
VEHICULAR,of or pertaining to a vehicle [adj]
VEILLEUSE,(French) a smallhighly-decorated nightlight [n -S]
VEINSTONE,ganguealso VEINSTUFF [n -S]
VEINSTUFF,ganguealso VEINSTONE [n -S]
VEINULETS,VEINULETa small veinule
VELARISED,VELARISEto pronounce with the back of the tongue
VELARISES,VELARISEto pronounce with the back of the tongue
VELARIZED,VELARIZEto pronounce with the back of the tongue
VELARIZES,VELARIZEto pronounce with the back of the tongue
VELATURAS,VELATURA(Italian) a method of glazing a painting by rubbing with the hand [n]
VELDSKOEN,(South African) a shoe made of rawhidealso VELDSCHOEN
VELLENAGE,(Spenser) the state of being a villeinalso VILLAINAGE
VELLICATE,to twitchpluck [v VELLICATED
VELODROME,an area for cycling races [n -S]
VELOUTINE,velvety corded wool [n -S]
VELSKOENS,VELSKOEN(South African) a shoe made of rawhide
VELVERETS,VELVERETa kind of velvet having a cotton backing [n]
VELVETEEN,a kind of clothusually cotton
VELVETIER,VELVETYhaving the plush of velvet [adj]
VELVETING,velvet material [n -S]
VENATICAL,related to huntingalso VENATIC [adj VENATICALLY]
VENATIONS,VENATIONthe arrangement and pattern of veins in a leaf [n]
VENDABLES,VENDABLEsomething that can be vended
VENDANGES,VENDANGEthe grape harvest
VENDETTAS,VENDETTA(Italian) a blood feud between two families [n]
VENDEUSES,VENDEUSE(French) a saleswoman [n]
VENDIBLES,VENDIBLEsomething that can be vended
VENDISSES,VENDISSa whitefish
VENDITION,a sale [n -S]
VENEERERS,VENEERERone who veneers [n]
VENEERING,an overlay with a thin sheet of fine wood or other material [n -S]
VENEFICAL,acting by poison or potions or by sorceryalso VENEFIC
VENENATED,VENENATEto poison [v]
VENENATES,VENENATEto poison [v]
VENERABLE,worthy of reverence [adj VENERABLY] / a title of respect [n -S]
VENERABLY,VENERABLEworthy of reverence [adv]
VENERATED,VENERATEto revere [v]
VENERATES,VENERATEto revere [v]
VENERATOR,one who venerates [n -S]
VENEREANS,VENEREANa person addicted to sexual intercourse [n]
VENEREOUS,venereal; exciting lustalso VENEREAL
VENETIANS,VENETIANone of the tapes that join the slats of a Venetian blind [n]
VENGEABLE,revengeful; deserving revenge [adj VENGEABLY]
VENGEABLY,VENGEABLErevengeful; deserving revenge [adv]
VENGEANCE,revenge [n -S]
VENGEMENT,(Spenser) revengealso REVENGEMENT [n -S]
VENIALITY,pardonableness of offence [n VENIALITIES]
VENIDIUMS,VENIDIUMa plant native to South Africa with yellow or cream flowers
VENIREMAN,a person summoned by venire as a prospective juror [n VENIREMEN]
VENIREMEN,VENIREMANa person summoned by venire as a prospective juror [n]
VENOGRAMS,VENOGRAMan X-ray of a vein [n]
VENOMLESS,without venom [adj]
VENTAILES,VENTAILE(Spenser) the movable front to a helmet
VENTAYLES,VENTAYLE(Spenser) the movable front to a helmet
VENTIDUCT,a ventilating pipe or passage [n -S]
VENTIFACT,a stone polished by windblown sand [n -S]
VENTILATE,to supply with air [v VENTILATEDVENTILATING
VENTOSITY,the state of being ventose; hencevainglory; pride [n VENTOSITIES]
VENTOUSES,VENTOUSEan apparatus sometimes used to assist the delivery of a baby
VENTRALLY,VENTRALpertaining to the underside or the belly [adv]
VENTRICLE,either of the two muscular lower chambers of the heartwhich pump the blood to the arteries and through the body
VENTRINGS,VENTRING(Milton) an enterprise [n]
VENTURERS,VENTURERone who ventures [n]
VENTURING,adventuresome [adj VENTURINGLY] / the act of venture [n -S]
VENTUROUS,venturesome; adventurousalso VENTROUS [adj VENTUROUSLY]
VENVILLES,VENVILLEa form of tenure in parishes around Dartmoor [n]
VERACIOUS,truthful; exact [adj VERACIOUSLY]
VERANDAED,having a verandaalso VERANDAHED [adj]
VERANDAHS,VERANDAH(Hindi) a roofed gallery
VERAPAMIL,a calcium channel blocker [n -S]
VERATRIAS,VERATRIA(Latin) a poisonous mixture of alkaloids
VERATRINE,an alkaloid or mixture of alkaloids obtained from white hellebore rhizomessabadilla
VERATRINS,VERATRIN(Latin) a poisonous mixture of alkaloids
VERATRUMS,VERATRUM(Latin) a genus of coarse liliaceous herbs having very poisonous qualities [n]
VERBALISE,to put into wordsalso VERBALIZE [v VERBALISED
VERBALISM,undue attention to words alone [n -S]
VERBALIST,a person dealing in or concentrating on mere words rather than reality or meaning [n -S]
VERBALITY,the state of being verbal [n VERBALITIES]
VERBALIZE,to put into wordsalso VERBALISE [v VERBALIZED
VERBALLED,VERBALto take a police statement [v]
VERBARIAN,a coiner of words [n -S]
VERBASCUM,another name for the flower mullein [n -S]
VERBERATE,(archaic) to beat [v VERBERATEDVERBERATING
VERBIAGES,VERBIAGEa profusion of words usually of little or obscure content [n]
VERBICIDE,destruction of the meaning of a word [n -S]
VERBIFIED,VERBIFYto use as a verb [v]
VERBIFIES,VERBIFYto use as a verb [v]
VERBOSELY,VERBOSEwordy [adv]
VERBOSEST,VERBOSEwordy [adj]
VERBOSITY,the state of being verbose [n VERBOSITIES]
